,files,protocol,treatment,person,rep,bamdir,Trisomy21,Celllinefrom,label,protocol_treatment_person,newlabel,genotype,condition
11,RNA-BSA-Ethan-2.sorted.bam,RNA,BSA,Ethan,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-BSA-Ethan-2,RNA-BSA-Ethan,RNA.BSA.Ethan.2,Ethan,BSA
12,RNA-BSA-Ethan-3.sorted.bam,RNA,BSA,Ethan,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-BSA-Ethan-3,RNA-BSA-Ethan,RNA.BSA.Ethan.3,Ethan,BSA
13,RNA-BSA-Khaondo-1.sorted.bam,RNA,BSA,Khaondo,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Khaondo-1,RNA-BSA-Khaondo,RNA.BSA.Khaondo.1,Khaondo,BSA
14,RNA-BSA-Khaondo-2.sorted.bam,RNA,BSA,Khaondo,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Khaondo-2,RNA-BSA-Khaondo,RNA.BSA.Khaondo.2,Khaondo,BSA
15,RNA-BSA-Khaondo-3.sorted.bam,RNA,BSA,Khaondo,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Khaondo-3,RNA-BSA-Khaondo,RNA.BSA.Khaondo.3,Khaondo,BSA
16,RNA-BSA-Niyilolawa-1.sorted.bam,RNA,BSA,Niyilolawa,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Niyilolawa-1,RNA-BSA-Niyilolawa,RNA.BSA.Niyilolawa.1,Niyilolawa,BSA
17,RNA-BSA-Niyilolawa-2.sorted.bam,RNA,BSA,Niyilolawa,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Niyilolawa-2,RNA-BSA-Niyilolawa,RNA.BSA.Niyilolawa.2,Niyilolawa,BSA
18,RNA-BSA-Niyilolawa-3.sorted.bam,RNA,BSA,Niyilolawa,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Niyilolawa-3,RNA-BSA-Niyilolawa,RNA.BSA.Niyilolawa.3,Niyilolawa,BSA
19,RNA-BSA-Pedro-1.sorted.bam,RNA,BSA,Pedro,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Pedro-1,RNA-BSA-Pedro,RNA.BSA.Pedro.1,Pedro,BSA
20,RNA-BSA-Pedro-2.sorted.bam,RNA,BSA,Pedro,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Pedro-2,RNA-BSA-Pedro,RNA.BSA.Pedro.2,Pedro,BSA
21,RNA-BSA-Pedro-3.sorted.bam,RNA,BSA,Pedro,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Pedro-3,RNA-BSA-Pedro,RNA.BSA.Pedro.3,Pedro,BSA
22,RNA-BSA-Sengbe-1.sorted.bam,RNA,BSA,Sengbe,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Sengbe-1,RNA-BSA-Sengbe,RNA.BSA.Sengbe.1,Sengbe,BSA
23,RNA-BSA-Sengbe-2.sorted.bam,RNA,BSA,Sengbe,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Sengbe-2,RNA-BSA-Sengbe,RNA.BSA.Sengbe.2,Sengbe,BSA
24,RNA-BSA-Sengbe-3.sorted.bam,RNA,BSA,Sengbe,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Sengbe-3,RNA-BSA-Sengbe,RNA.BSA.Sengbe.3,Sengbe,BSA
25,RNA-BSA-Srivathani-1.sorted.bam,RNA,BSA,Srivathani,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Srivathani-1,RNA-BSA-Srivathani,RNA.BSA.Srivathani.1,Srivathani,BSA
26,RNA-BSA-Srivathani-2.sorted.bam,RNA,BSA,Srivathani,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Srivathani-2,RNA-BSA-Srivathani,RNA.BSA.Srivathani.2,Srivathani,BSA
27,RNA-BSA-Srivathani-3.sorted.bam,RNA,BSA,Srivathani,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Srivathani-3,RNA-BSA-Srivathani,RNA.BSA.Srivathani.3,Srivathani,BSA
28,RNA-BSA-Ursula-1.sorted.bam,RNA,BSA,Ursula,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Ursula-1,RNA-BSA-Ursula,RNA.BSA.Ursula.1,Ursula,BSA
29,RNA-BSA-Ursula-2.sorted.bam,RNA,BSA,Ursula,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Ursula-2,RNA-BSA-Ursula,RNA.BSA.Ursula.2,Ursula,BSA
30,RNA-BSA-Ursula-3.sorted.bam,RNA,BSA,Ursula,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-BSA-Ursula-3,RNA-BSA-Ursula,RNA.BSA.Ursula.3,Ursula,BSA
31,RNA-IFN-ChenChao-1.sorted.bam,RNA,IFN,ChenChao,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-ChenChao-1,RNA-IFN-ChenChao,RNA.IFN.ChenChao.1,ChenChao,IFN
32,RNA-IFN-ChenChao-2.sorted.bam,RNA,IFN,ChenChao,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-ChenChao-2,RNA-IFN-ChenChao,RNA.IFN.ChenChao.2,ChenChao,IFN
33,RNA-IFN-ChenChao-3.sorted.bam,RNA,IFN,ChenChao,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-ChenChao-3,RNA-IFN-ChenChao,RNA.IFN.ChenChao.3,ChenChao,IFN
34,RNA-IFN-Dave-1.sorted.bam,RNA,IFN,Dave,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-IFN-Dave-1,RNA-IFN-Dave,RNA.IFN.Dave.1,Dave,IFN
35,RNA-IFN-Dave-2.sorted.bam,RNA,IFN,Dave,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-IFN-Dave-2,RNA-IFN-Dave,RNA.IFN.Dave.2,Dave,IFN
36,RNA-IFN-Dave-3.sorted.bam,RNA,IFN,Dave,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-IFN-Dave-3,RNA-IFN-Dave,RNA.IFN.Dave.3,Dave,IFN
37,RNA-IFN-Eric-1.sorted.bam,RNA,IFN,Eric,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,RNA-IFN-Eric-1,RNA-IFN-Eric,RNA.IFN.Eric.1,Eric,IFN
38,RNA-IFN-Eric-2.sorted.bam,RNA,IFN,Eric,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,RNA-IFN-Eric-2,RNA-IFN-Eric,RNA.IFN.Eric.2,Eric,IFN
39,RNA-IFN-Eric-3.sorted.bam,RNA,IFN,Eric,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Nexus,RNA-IFN-Eric-3,RNA-IFN-Eric,RNA.IFN.Eric.3,Eric,IFN
40,RNA-IFN-Ethan-1.sorted.bam,RNA,IFN,Ethan,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-IFN-Ethan-1,RNA-IFN-Ethan,RNA.IFN.Ethan.1,Ethan,IFN
41,RNA-IFN-Ethan-2.sorted.bam,RNA,IFN,Ethan,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-IFN-Ethan-2,RNA-IFN-Ethan,RNA.IFN.Ethan.2,Ethan,IFN
42,RNA-IFN-Ethan-3.sorted.bam,RNA,IFN,Ethan,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,TRUE,Nexus,RNA-IFN-Ethan-3,RNA-IFN-Ethan,RNA.IFN.Ethan.3,Ethan,IFN
43,RNA-IFN-Khaondo-1.sorted.bam,RNA,IFN,Khaondo,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Khaondo-1,RNA-IFN-Khaondo,RNA.IFN.Khaondo.1,Khaondo,IFN
44,RNA-IFN-Khaondo-2.sorted.bam,RNA,IFN,Khaondo,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Khaondo-2,RNA-IFN-Khaondo,RNA.IFN.Khaondo.2,Khaondo,IFN
45,RNA-IFN-Khaondo-3.sorted.bam,RNA,IFN,Khaondo,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Khaondo-3,RNA-IFN-Khaondo,RNA.IFN.Khaondo.3,Khaondo,IFN
46,RNA-IFN-Niyilolawa-1.sorted.bam,RNA,IFN,Niyilolawa,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Niyilolawa-1,RNA-IFN-Niyilolawa,RNA.IFN.Niyilolawa.1,Niyilolawa,IFN
47,RNA-IFN-Niyilolawa-2.sorted.bam,RNA,IFN,Niyilolawa,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Niyilolawa-2,RNA-IFN-Niyilolawa,RNA.IFN.Niyilolawa.2,Niyilolawa,IFN
48,RNA-IFN-Niyilolawa-3.sorted.bam,RNA,IFN,Niyilolawa,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Niyilolawa-3,RNA-IFN-Niyilolawa,RNA.IFN.Niyilolawa.3,Niyilolawa,IFN
49,RNA-IFN-Pedro-1.sorted.bam,RNA,IFN,Pedro,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Pedro-1,RNA-IFN-Pedro,RNA.IFN.Pedro.1,Pedro,IFN
50,RNA-IFN-Pedro-2.sorted.bam,RNA,IFN,Pedro,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Pedro-2,RNA-IFN-Pedro,RNA.IFN.Pedro.2,Pedro,IFN
51,RNA-IFN-Pedro-3.sorted.bam,RNA,IFN,Pedro,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Pedro-3,RNA-IFN-Pedro,RNA.IFN.Pedro.3,Pedro,IFN
52,RNA-IFN-Sengbe-1.sorted.bam,RNA,IFN,Sengbe,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Sengbe-1,RNA-IFN-Sengbe,RNA.IFN.Sengbe.1,Sengbe,IFN
53,RNA-IFN-Sengbe-2.sorted.bam,RNA,IFN,Sengbe,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Sengbe-2,RNA-IFN-Sengbe,RNA.IFN.Sengbe.2,Sengbe,IFN
54,RNA-IFN-Sengbe-3.sorted.bam,RNA,IFN,Sengbe,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Sengbe-3,RNA-IFN-Sengbe,RNA.IFN.Sengbe.3,Sengbe,IFN
55,RNA-IFN-Srivathani-1.sorted.bam,RNA,IFN,Srivathani,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Srivathani-1,RNA-IFN-Srivathani,RNA.IFN.Srivathani.1,Srivathani,IFN
56,RNA-IFN-Srivathani-2.sorted.bam,RNA,IFN,Srivathani,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Srivathani-2,RNA-IFN-Srivathani,RNA.IFN.Srivathani.2,Srivathani,IFN
57,RNA-IFN-Srivathani-3.sorted.bam,RNA,IFN,Srivathani,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Srivathani-3,RNA-IFN-Srivathani,RNA.IFN.Srivathani.3,Srivathani,IFN
58,RNA-IFN-Ursula-1.sorted.bam,RNA,IFN,Ursula,1,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Ursula-1,RNA-IFN-Ursula,RNA.IFN.Ursula.1,Ursula,IFN
59,RNA-IFN-Ursula-2.sorted.bam,RNA,IFN,Ursula,2,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Ursula-2,RNA-IFN-Ursula,RNA.IFN.Ursula.2,Ursula,IFN
60,RNA-IFN-Ursula-3.sorted.bam,RNA,IFN,Ursula,3,/Shares/down/interferonbeta/analysis_Sept2023_MAA/outfiles/RNA-seq/BedgraphsandBigwigs_human/mapped/bams/,FALSE,Hapmap,RNA-IFN-Ursula-3,RNA-IFN-Ursula,RNA.IFN.Ursula.3,Ursula,IFN
